"DO","time","day"
5.66,07:12:01,2
5.65,07:17:01,2
5.62,07:22:01,2
5.62,07:27:01,2
5.64,07:32:01,2
5.65,07:37:01,2
5.66,07:42:01,2
5.67,07:47:01,2
5.68,07:52:01,2
5.68,07:57:01,2
5.68,08:02:01,2
5.59,08:07:01,2
5.68,08:12:01,2
5.66,08:17:11,2
5.64,08:22:01,2
5.63,08:27:01,2
5.62,08:32:01,2
5.66,08:37:01,2
5.62,08:42:01,2
5.65,08:47:01,2
5.66,08:52:01,2
5.65,08:57:01,2
5.64,09:02:01,2
5.66,09:07:01,2
5.66,09:12:01,2
5.66,09:17:01,2
5.65,09:22:01,2
5.65,09:27:01,2
5.6,09:32:01,2
5.66,09:37:01,2
5.67,09:42:11,2
5.67,09:47:11,2
5.68,09:52:01,2
5.68,09:57:01,2
5.68,10:02:01,2
5.74,10:07:01,2
5.71,10:12:01,2
5.71,10:17:01,2
5.68,10:22:01,2
5.68,10:27:11,2
5.67,10:32:01,2
5.64,10:37:01,2
5.63,10:42:01,2
5.64,10:47:01,2
5.65,10:52:11,2
5.66,10:57:01,2
5.67,11:02:01,2
5.65,11:07:01,2
5.64,11:12:01,2
5.64,11:17:11,2
5.65,11:22:11,2
5.61,11:27:11,2
5.66,11:32:01,2
5.66,11:37:11,2
5.69,11:42:01,2
5.68,11:47:01,2
5.66,11:52:01,2
5.66,11:57:01,2
5.66,12:02:01,2
5.67,12:07:01,2
5.66,12:12:01,2
5.66,12:17:11,2
5.66,12:22:01,2
5.66,12:27:01,2
5.67,12:32:11,2
5.67,12:37:11,2
5.67,12:42:01,2
5.66,12:47:11,2
5.67,12:52:01,2
5.68,12:57:01,2
5.69,13:02:01,2
5.7,13:07:01,2
5.68,13:12:01,2
5.67,13:17:01,2
5.65,13:22:11,2
5.67,13:27:01,2
5.68,13:32:01,2
5.69,13:37:01,2
5.65,13:42:01,2
5.7,13:47:01,2
5.69,13:52:11,2
5.71,13:57:01,2
5.69,14:02:11,2
5.71,14:07:01,2
5.73,14:12:01,2
5.72,14:17:01,2
5.7,14:22:01,2
5.7,14:27:01,2
5.72,14:32:01,2
5.71,14:37:01,2
5.71,14:42:01,2
5.73,14:47:01,2
5.71,14:52:01,2
5.73,14:57:01,2
5.74,15:02:01,2
5.75,15:07:01,2
5.74,15:12:11,2
5.74,15:17:01,2
5.76,15:22:01,2
5.76,15:27:11,2
5.76,15:32:11,2
5.77,15:37:01,2
5.78,15:42:11,2
5.77,15:47:01,2
5.77,15:52:01,2
5.79,15:57:01,2
5.78,16:02:01,2
5.8,16:07:01,2
5.78,16:12:01,2
5.81,16:17:01,2
5.79,16:22:01,2
5.82,16:27:01,2
5.83,16:32:01,2
5.81,16:37:01,2
5.83,16:42:11,2
5.82,16:47:01,2
5.83,16:52:01,2
5.86,16:57:01,2
5.84,17:02:01,2
5.84,17:07:01,2
5.84,17:12:11,2
5.88,17:17:11,2
5.85,17:22:01,2
5.86,17:27:01,2
5.88,17:32:01,2
5.87,17:37:01,2
5.89,17:42:01,2
5.89,17:47:01,2
5.91,17:52:01,2
5.93,17:57:01,2
5.96,18:02:01,2
5.94,18:07:01,2
5.97,18:12:01,2
5.97,18:17:01,2
5.96,18:22:01,2
5.97,18:27:01,2
5.94,18:32:01,2
5.97,18:37:01,2
5.98,18:42:01,2
5.98,18:47:01,2
6.01,18:52:01,2
5.99,18:57:01,2
6,19:02:01,2
6.02,19:07:01,2
6.03,19:12:11,2
6.03,19:17:01,2
6.03,19:22:01,2
6.04,19:27:01,2
6.04,19:32:01,2
6.07,19:37:11,2
6.09,19:42:11,2
6.08,19:47:01,2
6.1,19:52:01,2
6.09,19:57:01,2
6.1,20:02:11,2
6.12,20:07:11,2
6.1,20:12:11,2
6.1,20:17:01,2
6.1,20:22:01,2
6.11,20:27:11,2
6.15,20:32:11,2
6.13,20:37:11,2
6.15,20:42:11,2
6.14,20:47:11,2
6.15,20:52:11,2
6.15,20:57:11,2
6.14,21:02:01,2
6.14,21:07:01,2
6.17,21:12:01,2
6.21,21:17:11,2
6.23,21:22:01,2
6.26,21:27:01,2
6.26,21:32:11,2
6.26,21:37:01,2
6.25,21:42:01,2
6.24,21:47:11,2
6.25,21:52:01,2
6.26,21:57:11,2
6.24,22:02:01,2
6.27,22:07:01,2
6.24,22:12:01,2
6.24,22:17:01,2
6.23,22:22:11,2
6.24,22:27:01,2
6.22,22:32:11,2
6.21,22:37:01,2
6.24,22:42:11,2
6.18,22:47:01,2
6.22,22:52:01,2
6.24,22:57:01,2
6.25,23:02:11,2
6.23,23:07:01,2
6.23,23:12:01,2
6.22,23:17:11,2
6.22,23:22:01,2
6.19,23:27:01,2
6.2,23:32:01,2
6.23,23:37:01,2
6.22,23:42:01,2
6.23,23:47:11,2
6.22,23:52:01,2
6.19,23:57:01,2
6.2,00:02:01,3
6.2,00:07:11,3
6.19,00:12:01,3
6.19,00:17:11,3
6.19,00:22:11,3
6.19,00:27:01,3
6.19,00:32:01,3
6.17,00:37:01,3
6.18,00:42:01,3
6.17,00:47:01,3
6.15,00:52:11,3
6.17,00:57:01,3
6.16,01:02:01,3
6.13,01:07:01,3
6.13,01:12:01,3
6.12,01:17:01,3
6.12,01:22:01,3
6.14,01:27:11,3
6.13,01:32:01,3
6.13,01:37:01,3
6.12,01:42:11,3
6.13,01:47:01,3
6.12,01:52:01,3
6.14,01:57:01,3
6.13,02:02:01,3
6.13,02:07:01,3
6.14,02:12:01,3
6.16,02:17:01,3
6.17,02:22:01,3
6.17,02:27:01,3
6.15,02:32:01,3
6.12,02:37:01,3
6.12,02:42:11,3
6.1,02:47:01,3
6.1,02:52:01,3
6.1,02:57:01,3
6.09,03:02:01,3
6.1,03:07:01,3
6.09,03:12:01,3
6.09,03:17:01,3
6.09,03:22:11,3
6.09,03:27:01,3
6.09,03:32:01,3
6.08,03:37:01,3
6.07,03:42:01,3
6.06,03:47:01,3
6.06,03:52:11,3
6.07,03:57:01,3
6.05,04:02:01,3
6.05,04:07:01,3
6.04,04:12:01,3
6.02,04:17:01,3
6.03,04:22:01,3
6.02,04:27:11,3
6.02,04:32:01,3
6.02,04:37:11,3
6.01,04:42:01,3
6,04:47:01,3
5.99,04:52:01,3
6.09,04:57:01,3
6.04,05:02:01,3
6.02,05:07:01,3
6,05:12:01,3
5.97,05:17:01,3
5.95,05:22:01,3
5.94,05:27:01,3
5.9,05:32:11,3
5.92,05:37:11,3
5.9,05:42:01,3
5.9,05:47:01,3
5.88,05:52:01,3
5.88,05:57:01,3
5.86,06:02:01,3
5.85,06:07:01,3
5.87,06:12:01,3
5.81,06:17:11,3
5.83,06:22:11,3
5.83,06:27:01,3
5.83,06:32:01,3
5.8,06:37:01,3
5.79,06:42:01,3
5.8,06:47:11,3
5.81,06:52:01,3
5.8,06:57:01,3
5.8,07:02:01,3
5.8,07:07:01,3
5.8,07:12:01,3
5.8,07:17:11,3
5.8,07:22:11,3
5.8,07:27:01,3
5.8,07:32:01,3
5.79,07:37:01,3
5.8,07:42:01,3
5.79,07:47:01,3
5.77,07:52:01,3
5.77,07:57:01,3
5.79,08:02:01,3
5.82,08:07:01,3
5.81,08:12:01,3
5.81,08:17:01,3
5.81,08:22:01,3
5.8,08:27:11,3
5.8,08:32:01,3
5.8,08:37:01,3
5.79,08:42:01,3
5.8,08:47:01,3
5.8,08:52:01,3
5.8,08:57:11,3
5.8,09:02:01,3
5.78,09:07:01,3
5.8,09:12:11,3
5.79,09:17:01,3
5.79,09:22:01,3
5.8,09:27:01,3
5.79,09:32:01,3
5.75,09:37:11,3
5.76,09:42:11,3
5.76,09:47:01,3
5.77,09:52:01,3
5.77,09:57:01,3
5.78,10:02:01,3
5.76,10:07:01,3
5.77,10:12:01,3
5.76,10:17:11,3
5.77,10:22:11,3
5.77,10:27:11,3
5.77,10:32:01,3
5.78,10:37:01,3
5.78,10:42:01,3
5.77,10:47:11,3
5.78,10:52:01,3
5.79,10:57:01,3
5.79,11:02:01,3
5.78,11:07:01,3
5.78,11:12:01,3
5.78,11:17:01,3
5.78,11:22:11,3
5.78,11:27:11,3
5.78,11:32:01,3
5.78,11:37:01,3
5.78,11:42:01,3
5.78,11:47:01,3
5.79,11:52:01,3
5.77,11:57:01,3
5.79,12:02:01,3
5.78,12:07:01,3
5.78,12:12:01,3
5.79,12:17:01,3
5.78,12:22:01,3
5.78,12:27:01,3
5.77,12:32:11,3
5.78,12:37:01,3
5.78,12:42:11,3
5.79,12:47:01,3
5.78,12:52:11,3
5.78,12:57:01,3
5.77,13:02:01,3
5.79,13:07:01,3
5.77,13:12:01,3
5.74,13:17:11,3
5.75,13:22:01,3
5.78,13:27:01,3
5.78,13:32:01,3
5.79,13:37:01,3
5.77,13:42:11,3
5.79,13:47:01,3
5.77,13:52:01,3
5.78,13:57:01,3
5.76,14:02:01,3
5.76,14:07:01,3
5.75,14:12:01,3
5.75,14:17:01,3
5.74,14:22:01,3
5.76,14:27:01,3
5.76,14:32:01,3
5.79,14:37:01,3
5.79,14:42:01,3
5.77,14:47:01,3
5.77,14:52:11,3
5.8,14:57:11,3
5.8,15:02:11,3
5.81,15:07:01,3
5.8,15:12:01,3
5.82,15:17:11,3
5.83,15:22:01,3
5.86,15:27:11,3
5.86,15:32:11,3
5.88,15:37:11,3
5.87,15:42:01,3
5.88,15:47:01,3
5.93,15:52:01,3
5.87,15:57:01,3
5.89,16:02:01,3
5.9,16:07:01,3
5.91,16:12:11,3
